metabolite,molecular_formula,knapsack_cid,function,target,bunken
narciclasine,C14H13NO7,C00001577,potent antifeedant against the larva,Eurema hecabe mandarina,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter17"
ichthyotherol,C14H14O2,C00001286,extremely toxic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter8"
ichthyotherol,C14H14O2,C00001286,used as a fish poison,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter8"
Dihydropinosylvin,C14H14O2,C00002878,antibacterial activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44"
Dihydropinosylvin,C14H14O2,C00002878,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44"
Lunularin,C14H14O2,C00002889,inhibit spore germination,Uromyces fabae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44"
6-O-methyleuparin,C14H14O3,C00002402,active against unaffection usually by psoralen and other photosensitisers,Pseudomonas fluorescens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter33"
6-O-methyleuparin,C14H14O3,C00002402,moderately phototoxic,Bacteria,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter33"
6-O-methyleuparin,C14H14O3,C00002402,moderately phototoxic,Candida albicans,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter33"
6-O-methyleuparin,C14H14O3,C00002402,moderately phototoxic,Saccharomyces cerevisiae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter33"
Demethylbatatasin IV,C14H14O3,C00002877,antibacterial activity,Escherichia coli,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44"
Demethylbatatasin IV,C14H14O3,C00002877,moderate antifungal activity,Aspergillus niger,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44"
Demethylbatatasin IV,C14H14O3,C00002877,moderate antifungal activity,Penicillium sclerotigenum,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44"
Dihydroresveratrol,C14H14O3,C00002879,antibacterial activity,Escherichia coli,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44"
Dihydroresveratrol,C14H14O3,C00002879,antibacterial activity,Serratia marcescens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44"
Dihydroresveratrol,C14H14O3,C00002879,antibacterial activity,Staphylococcus aureus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44"
Dihydroresveratrol,C14H14O3,C00002879,inhibit germination,Cladosporium cladosporioides,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44"
Dihydroresveratrol,C14H14O3,C00002879,inhibit germination,Trichophyton mentagrophytes,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44"
Aucuparin,C14H14O3,C00002980,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter47"
Kawain,C14H14O3,C00003000,anti-inflammatory activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter47"
Kawain,C14H14O3,C00003000,antimycotic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter47"
Kawain,C14H14O3,C00003000,anti-oedemic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter47"
Kawain,C14H14O3,C00003000,local anaesthetic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter47"
Kawain,C14H14O3,C00003000,spasmolytic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter47"
columbianetin,C14H14O4,C00002459,antifungal property,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter35"
decursinol,C14H14O4,C00002466,decrease the rate of heart beat of cultures myocardial cells,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter35"
marmesin,C14H14O4,C00002483,antifungal agent,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter35"
nodakenetin,C14H14O4,C00002485,inhibit platelet aggregation in vitro,Homo sapiens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter35"
khellin,C14H14O5,C00002431,anthelmintic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
khellin,C14H14O5,C00002431,anti-arteriosclerotic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
khellin,C14H14O5,C00002431,anti-asthmatic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
khellin,C14H14O5,C00002431,antidiabetic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
khellin,C14H14O5,C00002431,antispasmodic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
khellin,C14H14O5,C00002431,anti-ulcerogenic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
khellin,C14H14O5,C00002431,bronchodilatory activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
khellin,C14H14O5,C00002431,exhibit antiviral phototoxicity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
khellin,C14H14O5,C00002431,moderate action,bacteriophages T4 and M13,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
khellin,C14H14O5,C00002431,phosphodiesterase inhibitor,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
khellin,C14H14O5,C00002431,used medicinally as a vasodilatory agent,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
isotan B,C14H15NO7,C00001542,used as a pigment,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter16"
pancratistatin,C14H15NO8,C00001579,"anticancer activity when tested against lymphocytic P388 leukaemia, PS system and M5076 ovary sarcoma","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter17"
maculosin,C14H16N2O3,C00002350,pathogen,Centaurea maculosa,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
maculosin,C14H16N2O3,C00002350,phytotoxin,Alternaria alternata,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
maculosin,C14H16N2O3,C00002350,possess pesticidal property,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
maculosin,C14H16N2O3,C00002350,toxic when applied at concentrations of 10^(-3) to 10^(-5) M,Centaurea maculosa,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
indicaxanthin,C14H16N2O6,C00001591,yellow pigment,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter18"
portulacaxanthin I,C14H16N2O7,C00001603,yellow pigment,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter18"
vulgaxanthin-II,C14H16N2O8,C00001608,yellow pigment,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter18"
encecalin,C14H16O3,C00002426,insecticidal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
encecalin,C14H16O3,C00002426,phototoxic activity,Bacteria,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
encecalin,C14H16O3,C00002426,phototoxic activity,Candida albicans,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
encecalin,C14H16O3,C00002426,phototoxic activity,Saccharomyces cerevisiae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
prenyl cafeate,C14H16O4,C00002768,one of the major contact allergens of bee propolis,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
1'-acetoxyeugenol acetate,C14H16O5,C00002712,antitumour activity against Sarcoma 180 ascites,Mus musculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
1'-acetoxyeugenol acetate,C14H16O5,C00002712,pungent,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
Bergenin,C14H16O9,C00002981,anti-inflammatory activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter47"
vulgaxanthin-I,C14H17N3O7,C00001607,yellow pigment,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter18"
triglochinin,C14H17NO10,C00001457,toxic,Bos taurus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter12"
triglochinin,C14H17NO10,C00001457,toxic,Ovis aries,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter12"
leiokinine A,C14H17NO2,C00002178,antifeedant activity,Pectinophora gossypiella,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter27"
fagaramide,C14H17NO3,C00002742,anti-inflammatory activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
fagaramide,C14H17NO3,C00002742,inhibit growth,Insecta,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
fagaramide,C14H17NO3,C00002742,inhibit prostaglandin synthesis in vitro,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
fagaramide,C14H17NO3,C00002742,molluscicidal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
prunasin,C14H17NO6,C00001454,toxic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter12"
indican,C14H17NO6,C00001541,colourless precursor of the dark blue indigo,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter16"
dhurrin,C14H17NO7,C00001442,toxic,Bos taurus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter12"
p-glucosyloxymandelonitrile,C14H17NO7,C00001443,release hydrogen cyanide without the intervention of a beta-glucosidase,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter12"
p-glucosyloxymandelonitrile,C14H17NO7,C00001443,toxic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter12"
zierin,C14H17NO7,C00001460,toxic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter12"
hypaphorine,C14H18N2O2,C00001740,convulsive poison,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
hypaphorine,C14H18N2O2,C00001740,feeding deterrent,Liomys salvini,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
physovenine,C14H18N2O3,C00001758,anticholinesterase,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
physovenine,C14H18N2O3,C00001758,"similar in activity to physostigmine, but not in clinical use","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
humilixanthin,C14H18N2O7,C00001590,yellow pigment,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter18"
miraxanthin-I,C14H18N2O7S,C00001595,yellow pigment,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter18"
sinalbin,C14H18NO10S2,C00001487,"decomposes to form the thiocyanate ion, SCN-","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter13"
sinalbin,C14H18NO10S2,C00001487,"flavour component, together with the breakdown products","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter13"
sinalbin,C14H18NO10S2,C00001487,stimulate egg laying,Hymlemya brassicae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter13"
glucotropaeolin,C14H18NO9S2,C00001482,feeding stimulant,Pieris brassicae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter13"
glucotropaeolin,C14H18NO9S2,C00001482,flavour component,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter13"
glucotropaeolin,C14H18NO9S2,C00001482,the hydrolysis products are benzyl isothiocyanate and benzyl thiocyanate,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter13"
methylripariochromene A,C14H18O4,C00002437,antifungal activity,Colletotrichum gloeosporioides,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
harzianopyridone,C14H19NO5,C00002044,produce leaf necrosis and stem collapse at a concentration of 10^(-2) M,Zea mays,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
subaphyllin,C14H20N2O3,C00002780,antiviral effect,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
subaphyllin,C14H20N2O3,C00002780,hypotensive activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
acalyphin,C14H20N2O9,C00001436,toxic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter12"
G3,C14H20O5,C00000292,inhibit root elongation,Eucalyptus grandis,""
G3,C14H20O5,C00000292,inhibit root elongation,Phaseolus mungo,""
G1,C15H22O5,C00000290,inhibit root elongation,Eucalyptus deglupta,""
codonopsine,C14H21NO4,C00002029,decrease blood pressure at doses of 20 mg/kg body-weight,Felis catus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
myristic acid,C14H28O2,C00001228,"a constitent of lubricants, soaps and shaving creams","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter6"
myristic acid,C14H28O2,C00001228,used for waterproofing leather,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter6"
myristic acid,C14H28O2,C00001228,used in the synthesis of esters for flavours and perfumes,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter6"
phaseolotoxin,C14H33N10O7PS,C00001520,induce chlorosis,Leguminosae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter15"
11-hydroxycanthin-6-one,C14H8N2O2,C00001739,active in vitro against the P-388 lymphocytic leukaemia cell line,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
canthin-6-one,C14H8N2O,C00001701,antimicrobial activity,Mycobacterium smermatis,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
canthin-6-one,C14H8N2O,C00001701,antimicrobial activity,Staphylococcus aureus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
alizarin,C14H8O4,C00002785,antileukaemic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
alizarin,C14H8O4,C00002785,"orange-red pigment, the principle of madder, one of the most ancient of natural dyestuffs","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
alizarin,C14H8O4,C00002785,used as a reagent for aluminium and zinc,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
alizarin,C14H8O4,C00002785,used as an acid-base indicator,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
alizarin,C14H8O4,C00002785,used in the manufacture of acid and chrome dyes for wool,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
chrysazin,C14H8O4,C00002804,cathartic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
chrysazin,C14H8O4,C00002804,immunosupressive activity in lymphocyte cells test systems at higher dosage,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
chrysazin,C14H8O4,C00002804,immunosupressive activity in microphages at higher dosage,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
chrysazin,C14H8O4,C00002804,purgative in veterinary practice,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
anthragallol,C14H8O5,C00002792,cytotoxic activity against microphages at higher dosage,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
anthragallol,C14H8O5,C00002792,cytotoxic activity against T- and B-lymphocytes at higher dosage,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
anthragallol,C14H8O5,C00002792,immunosupressive activity in vitro,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
anthragallol,C14H8O5,C00002792,inhibitory against microphages at higher dosage,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
anthragallol,C14H8O5,C00002792,inhibitory against T- and B-lymphocytes at higher dosage,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
purpurin,C14H8O5,C00002857,flavanone,Tephrosia purpurea,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
purpurin,C14H8O5,C00002857,genotoxic in the fibroblast-mutagenicity assay,Mesocrietus auratus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
purpurin,C14H8O5,C00002857,the second most impotant pigment,Rubia tinctorum,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
dianthalexin,C14H9NO3,C00001536,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter16"
crinasiadine,C14H9NO3,C00002328,bacteriostatic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
crinasiadine,C14H9NO3,C00002328,tumour-inhibiting activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
flavone,C15H10O2,C00001040,"inhibit delta5-lipoxygenase of platelets, due to inhibition of cyclo-oxygenase",Homo sapiens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
flavone,C15H10O2,C00001040,inhibitory activity against basophil histamine release,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
flavone,C15H10O2,C00001040,moderate contact sensitising (allergenic) activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
flavone,C15H10O2,C00001040,weak antibacterial activity,Pseudomonas maltophilia,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
tectoquinone,C15H10O2,C00002864,repellent,Isoptera,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
2-hydroxymethylanthraquinone,C15H10O3,C00002828,"antileukaemic in vivo, P-388 lymphocytic leukaemia",Mus musculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
2-hydroxymethylanthraquinone,C15H10O3,C00002828,cytotoxic in vitro,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
chrysophanol,C15H10O4,C00000568,activity against termites,Tectona grandis,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
chrysophanol,C15H10O4,C00000568,used as a natural dye,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
primetin,C15H10O4,C00001085,contact sensitising (allergic) properties,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
anhydroglycinol,C15H10O4,C00002508,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter38"
Daidzein,C15H10O4,C00002517,Allelopathy,Trifolium spp.,"Tamura,Agric.Biol.Chem.31,(1967),1108; Tamura,Agric.Biol.Chem.,33,(1969),391; Chang,Agric.Biol.Chem.,33,(1969),398"
daidzein,C15H10O4,C00002517,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter38"
daidzein,C15H10O4,C00002517,antilipase activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter38"
Daidzein,C15H10O4,C00002517,Phytoalexins and inducers of nitrogen fixing bacteria,Bradyrhizobium japonicum,"Kosslak,Proc.Natl.Acad.Sci.USA,84,(1987),7428"
Daidzein,C15H10O4,C00002517,Phytoalexins and inducers of nitrogen fixing bacteria,Rhizobium spp.,"Bassam,Mol.Plant-Microbe Interact.,1,(1988),161-168"
Daidzein,C15H10O4,C00002517,Phytoalexins and inducers of nitrogen fixing bacteria,Verticillium albo-atrum,"Picman,Biochem.Syst.Ecol.,23,(1995),683"
alizarin 2-methyl ether,C15H10O4,C00002786,antimicrobial activity,Bacillus subtilis,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
alizarin 2-methyl ether,C15H10O4,C00002786,antimicrobial activity,Escherichia coli,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
digiferrugineol,C15H10O4,C00002814,"cytotoxic in vitro, KB-human epidermoid carcinoma of nasopharynx","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
digiferrugineol,C15H10O4,C00002814,main component in a exhibiting antimicrobial activity,Bacillus subtilis,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
digiferrugineol,C15H10O4,C00002814,main component in a exhibiting antimicrobial activity,Escherichia coli,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
digiferrugineol,C15H10O4,C00002814,phytoalexin,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
"1,4-dihydroxy-2-methylanthraquinone",C15H10O4,C00002815,termite repellent,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
Chrysin,C15H10O4,C00003794,Phytoalexins and inducers of nitrogen fixing bacteria,Cystospora persoonii ,"Geibel,Phytochem.,38,(1995),599"
Chrysin,C15H10O4,C00003794,Phytoalexins and inducers of nitrogen fixing bacteria,Verticillium albo-atrum,"Picman,Biochem.Syst.Ecol.,23,(1995),683"
"7,4'-Dihydroxyflavone",C15H10O4,C00003800,Phytoalexins and inducers of nitrogen fixing bacteria,Cladosporium herbarum,"Kobayashi,Agric.Biol.Chem.,52,(1988),3223"
"7,4'-Dihydroxyflavone",C15H10O4,C00003800,Phytoalexins and inducers of nitrogen fixing bacteria,Cladosporium herbarum,"Kobayashi,Agric.Biol.Chem.,52,(1988),3223"
"7,4'-Dihydroxyflavone",C15H10O4,C00003800,Phytoalexins and inducers of nitrogen fixing bacteria,Pyricularia oryzae,"Kobayashi,Agric.Biol.Chem.,52,(1988),3223"
"7,4'-Dihydroxyflavone",C15H10O4,C00003800,Phytoalexins and inducers of nitrogen fixing bacteria,Pyricularia oryzae,"Kobayashi,Agric.Biol.Chem.,52,(1988),3223"
"7,4'-Dihydroxyflavone",C15H10O4,C00003800,Phytoalexins and inducers of nitrogen fixing bacteria,Rhizobium meliloti,"Hartwig,Plant Physiol.,91,(1989),1138;Maxwell,Plant Physiol.,91, (1989),842"
"7,4'-Dihydroxyflavone",C15H10O4,C00003800,Phytoalexins and inducers of nitrogen fixing bacteria,Rhizobium meliloti,"Hartwig,Plant Physiol.,91,(1989),1138;  Maxwell,Plant Physiol.,91, (1989),842"
"7,4'-Dihydroxyflavone",C15H10O4,C00003800,Phytoalexins and inducers of nitrogen fixing bacteria,Rhizpbium trifolii,"Redmond,Nature,323,(1986),632; Djordjevic,EMBO J.,6,(1987),1173"
"7,4'-Dihydroxyflavone",C15H10O4,C00003800,Phytoalexins and inducers of nitrogen fixing bacteria,Rhizpbium trifolii,"Redmond,Nature,323,(1986),632; Djordjevic,EMBO J.,6,(1987),1173"
emodin ,C15H10O5,C00000555,antitumour (Walker Sarcoma) activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
emodin ,C15H10O5,C00000555,inhibit growth of crown gall tumours on disks ofSolanum tuberosum,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
emodin ,C15H10O5,C00000555,moderately cytotoxic in 3 tumour cell lines,Homo sapiens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
emodin ,C15H10O5,C00000555,murin antileukaemic (P388) activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
baicalein,C15H10O5,C00001022,anti-allergic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
baicalein,C15H10O5,C00001022,anti-inflammatory activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
baicalein,C15H10O5,C00001022,anti-promotion activity in carcinogenesis,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
baicalein,C15H10O5,C00001022,diuretic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
baicalein,C15H10O5,C00001022,inhibit glyoxylase-I,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
baicalein,C15H10O5,C00001022,inhibit platelet lipoxygenase,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
baicalein,C15H10O5,C00001022,prolong the clotting time of fibrinogen by thrombin in high concentrations,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
galangin,C15H10O5,C00001041,antibacterial activity,Enterobacter cloacae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
galangin,C15H10O5,C00001041,antibacterial activity,Pseudomonas maltophilia,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
galangin,C15H10O5,C00001041,antibacterial activity,Staphylococcus epidermis,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
norwogonin,C15H10O5,C00001077,mutagenic activity in strain TA 100,Salmonella typhimurium,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
sulphuretin,C15H10O5,C00002389,potent inhibitor of iodothyronine-deiodinase in liver microcosmal membranes,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter32"
sulphuretin,C15H10O5,C00002389,yellow flower pigment,Plantae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter32"
Genistein,C15H10O5,C00002526,Allelopathy,Trifolium spp.,"Tamura,Agric.Biol.Chem.31,(1967),1108; Tamura,Agric.Biol.Chem.,33,(1969),391; Chang,Agric.Biol.Chem.,33,(1969),398"
genistein,C15H10O5,C00002526,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter38"
genistein,C15H10O5,C00002526,competitively inhibit peroxidase activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter38"
genistein,C15H10O5,C00002526,inhibit lipase activity,Glycine max,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter38"
genistein,C15H10O5,C00002526,oestrogenic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter38"
