gene	uniprot
hsa:HSA_205277378	uniplot:Q8TCB6
hsa:HSA_205277378	uniplot:A0A126GVF8
hsa:HSA_205277427	uniplot:Q5W0V3
hsa:HSA_20532340	uniplot:Q15389
hsa:HSA_206597543	uniplot:Q711Q0
hsa:HSA_206725454	uniplot:Q5T9C9
hsa:HSA_208022703	uniplot:Q9BWK5
hsa:HSA_20806097	uniplot:Q8WTT2
hsa:HSA_208879446	uniplot:P01210
hsa:HSA_208879446	uniplot:A0A024R7V4
hsa:HSA_208879454	uniplot:P54219
hsa:HSA_208879454	uniplot:Q96GL6
hsa:HSA_208879465	uniplot:Q9Y277
hsa:HSA_208973238	uniplot:D0PNI1
hsa:HSA_208973238	uniplot:P63104
hsa:HSA_209180418	uniplot:Q8TC59
hsa:HSA_209180418	uniplot:W0HK13
hsa:HSA_209180481	uniplot:Q75N03
hsa:HSA_209364526	uniplot:Q969S2
hsa:HSA_209364526	uniplot:A0A024R361
hsa:HSA_209364547	uniplot:O95905
hsa:HSA_209413766	uniplot:O43298
hsa:HSA_209693439	uniplot:O76070
hsa:HSA_209693439	uniplot:Q6FHG5
hsa:HSA_209693464	uniplot:Q9BTM9
hsa:HSA_209862765	uniplot:Q8N2Y8
hsa:HSA_209862782	uniplot:B2RXF0
hsa:HSA_20986523	uniplot:P45983
hsa:HSA_209915547	uniplot:Q8IX21
hsa:HSA_209954821	uniplot:Q4G0Z9
hsa:HSA_209969690	uniplot:Q96B45
hsa:HSA_209969690	uniplot:A0A0B4J1R7
hsa:HSA_21040251	uniplot:Q8N0Z2
hsa:HSA_21040257	uniplot:Q8WWH5
hsa:HSA_21040269	uniplot:Q8WVZ7
hsa:HSA_21071006	uniplot:Q9Y5U2
hsa:HSA_21071067	uniplot:Q15542
hsa:HSA_211971058	uniplot:Q5VW38
hsa:HSA_212276011	uniplot:B3EWG3
hsa:HSA_212276011	uniplot:B3EWG4
hsa:HSA_212276011	uniplot:B3EWG5
hsa:HSA_212276011	uniplot:B3EWG6
hsa:HSA_212276049	uniplot:B3EWG3
hsa:HSA_212276049	uniplot:B3EWG4
hsa:HSA_212276049	uniplot:B3EWG5
hsa:HSA_212276049	uniplot:B3EWG6
hsa:HSA_21237725	uniplot:P48736
hsa:HSA_21237725	uniplot:A0A024R720
hsa:HSA_21237748	uniplot:P48509
hsa:HSA_21237748	uniplot:Q6ZNZ0
hsa:HSA_21237748	uniplot:A0A024RCB3
hsa:HSA_212549593	uniplot:P0C5J1
hsa:HSA_21264616	uniplot:Q9H6S3
hsa:HSA_21265034	uniplot:Q76LX8
hsa:HSA_21265093	uniplot:Q8IXM3
hsa:HSA_21265096	uniplot:Q8N5N7
hsa:HSA_21281667	uniplot:Q9NRH1
hsa:HSA_21281671	uniplot:Q8NHZ8
hsa:HSA_21281671	uniplot:A0A024R832
hsa:HSA_21281681	uniplot:Q8N145
hsa:HSA_213021148	uniplot:Q8N434
hsa:HSA_21314606	uniplot:P38567
hsa:HSA_21314606	uniplot:Q5D1J4
hsa:HSA_21314654	uniplot:Q8WU17
hsa:HSA_21314739	uniplot:Q9H2D1
hsa:HSA_21314739	uniplot:A0A024R9D0
hsa:HSA_21327667	uniplot:Q14137
hsa:HSA_21327685	uniplot:Q96TA2
hsa:HSA_213512168	uniplot:B4DY95
hsa:HSA_213512168	uniplot:Q6ZU69
hsa:HSA_21359867	uniplot:P08574
hsa:HSA_21361097	uniplot:Q9H1X3
hsa:HSA_21361097	uniplot:A0A024R161
hsa:HSA_21361176	uniplot:P00352
hsa:HSA_21361176	uniplot:V9HW83
hsa:HSA_21361306	uniplot:Q16620
hsa:HSA_21361306	uniplot:Q5VWE5
hsa:HSA_21361306	uniplot:A0A024R230
hsa:HSA_21361329	uniplot:P47804
hsa:HSA_21361329	uniplot:A0A0S2Z498
hsa:HSA_21361368	uniplot:P54886
hsa:HSA_21361416	uniplot:P62070
hsa:HSA_21361449	uniplot:Q8WZ05
hsa:HSA_21361449	uniplot:Q9NY64
hsa:HSA_21361449	uniplot:A0A024R871
hsa:HSA_21361460	uniplot:B3KSZ5
hsa:HSA_21361460	uniplot:Q9NS61
hsa:HSA_21361493	uniplot:Q8WVD5
hsa:HSA_21361521	uniplot:Q9HA72
hsa:HSA_21361553	uniplot:P43405
hsa:HSA_21361553	uniplot:A0A024R244
hsa:HSA_21361583	uniplot:O14977
hsa:HSA_21361583	uniplot:A0A024R9C7
hsa:HSA_21361598	uniplot:Q9NZW5
hsa:HSA_21361598	uniplot:A0A024RA25
hsa:HSA_21361619	uniplot:Q6FIE9
hsa:HSA_21361619	uniplot:Q9H0E2
hsa:HSA_21361639	uniplot:Q96DX7
hsa:HSA_21361682	uniplot:Q86VP1
hsa:HSA_21361743	uniplot:Q71RE8
hsa:HSA_21361743	uniplot:Q9BS92
hsa:HSA_21361745	uniplot:Q96SI9
hsa:HSA_21361745	uniplot:V9HWK4
hsa:HSA_21361831	uniplot:Q8TEW0
hsa:HSA_21361870	uniplot:Q9NQ31
hsa:HSA_21361891	uniplot:Q9H788
hsa:HSA_21361912	uniplot:Q96KC8
hsa:HSA_21362112	uniplot:Q8WVP7
hsa:HSA_213688375	uniplot:D2JYH4
hsa:HSA_213688375	uniplot:P62736
hsa:HSA_21389533	uniplot:Q96BF6
hsa:HSA_21389533	uniplot:A0A024R8I0
hsa:HSA_21389543	uniplot:Q8WZ69
hsa:HSA_214010218	uniplot:Q92854
hsa:HSA_214010226	uniplot:P62847
hsa:HSA_21450645	uniplot:B4DH05
hsa:HSA_21450645	uniplot:Q8NEE8
hsa:HSA_21450717	uniplot:Q96L08
hsa:HSA_21450761	uniplot:Q8TAP8
hsa:HSA_21464101	uniplot:P61981
hsa:HSA_214831601	uniplot:P32780
hsa:HSA_214832074	uniplot:P25791
hsa:HSA_21495178	uniplot:Q8TCP9
hsa:HSA_21553337	uniplot:F1T0H4
hsa:HSA_21553337	uniplot:Q8N100
hsa:HSA_215599967	uniplot:B3KMJ8
hsa:HSA_215599967	uniplot:Q9Y222
hsa:HSA_21618325	uniplot:O00358
hsa:HSA_21630257	uniplot:Q96DY7
hsa:HSA_21687070	uniplot:Q8WU49
hsa:HSA_21687070	uniplot:A0A090N8Y1
hsa:HSA_21687171	uniplot:A4D1L0
hsa:HSA_21687171	uniplot:Q8WWF3
hsa:HSA_21703367	uniplot:Q96HU8
hsa:HSA_21735575	uniplot:Q7Z682
hsa:HSA_21735575	uniplot:Q86VR1
hsa:HSA_21735575	uniplot:Q9HDC5
hsa:HSA_21735596	uniplot:Q53EL6
hsa:HSA_21735621	uniplot:B3KTM1
hsa:HSA_21735621	uniplot:P40926
hsa:HSA_21735621	uniplot:A0A024R4K3
hsa:HSA_217416369	uniplot:Q5SQT9
hsa:HSA_217416369	uniplot:Q9NR31
hsa:HSA_217416390	uniplot:P48052
hsa:HSA_218505750	uniplot:A8MWY0
hsa:HSA_218505775	uniplot:A2A3D8
hsa:HSA_218505839	uniplot:Q14626
hsa:HSA_218505839	uniplot:Q5VZ79
hsa:HSA_219273466	uniplot:E9PAM5
hsa:HSA_219273466	uniplot:Q9P2W6
hsa:HSA_219521826	uniplot:Q49AG3
hsa:HSA_21955174	uniplot:Q96AC6
hsa:HSA_219555725	uniplot:Q7Z4V0
hsa:HSA_21956645	uniplot:P58546
hsa:HSA_21956645	uniplot:Q69YG1
hsa:HSA_219842298	uniplot:P23560
hsa:HSA_219842317	uniplot:Q9Y2Q3
hsa:HSA_219879828	uniplot:Q2QD12
hsa:HSA_22027500	uniplot:P35219
hsa:HSA_22027632	uniplot:Q9Y6T7
hsa:HSA_22035562	uniplot:Q9HAW0
hsa:HSA_221136914	uniplot:A6NIR3
hsa:HSA_221316593	uniplot:Q12864
hsa:HSA_221316602	uniplot:Q9UKG9
hsa:HSA_221316620	uniplot:O75794
hsa:HSA_221316630	uniplot:P53618
hsa:HSA_221316650	uniplot:P21709
hsa:HSA_221316661	uniplot:Q9ULD0
hsa:HSA_221316695	uniplot:Q9H8L6
hsa:HSA_221316705	uniplot:Q9UHB4
hsa:HSA_221316723	uniplot:Q9H0A0
hsa:HSA_221625487	uniplot:P29218
hsa:HSA_221625487	uniplot:A0A140VJL8
hsa:HSA_221625547	uniplot:Q92636
hsa:HSA_22165416	uniplot:B2RAT6
hsa:HSA_22165416	uniplot:P07902
hsa:HSA_22165416	uniplot:A0A0S2Z3Y7
hsa:HSA_22165427	uniplot:O00175
hsa:HSA_22202619	uniplot:P07711
hsa:HSA_22202619	uniplot:A0A024R276
hsa:HSA_22208850	uniplot:A4D0Z4
hsa:HSA_22208850	uniplot:Q96CN9
hsa:HSA_22208957	uniplot:Q8WXK3
hsa:HSA_22212896	uniplot:Q96LZ3
hsa:HSA_22212918	uniplot:P26992
hsa:HSA_22212943	uniplot:Q712K3
hsa:HSA_222136634	uniplot:A0AVF1
hsa:HSA_222144249	uniplot:B0I1S4
hsa:HSA_222144249	uniplot:Q96M86
hsa:HSA_22218339	uniplot:B3KRT5
hsa:HSA_22218339	uniplot:Q8TC76
hsa:HSA_22218339	uniplot:A0A024R7V5
hsa:HSA_22218341	uniplot:Q8N119
hsa:HSA_22218619	uniplot:Q5T6F0
hsa:HSA_22219462	uniplot:O43889
hsa:HSA_22219465	uniplot:P50583
hsa:HSA_222352098	uniplot:Q96S42
hsa:HSA_222352158	uniplot:Q8NEM8
hsa:HSA_222418622	uniplot:Q9HC98
hsa:HSA_222446618	uniplot:Q58A54
hsa:HSA_222446618	uniplot:Q6P9A2
hsa:HSA_22267436	uniplot:Q9UFN0
hsa:HSA_222831645	uniplot:A6NHX0
hsa:HSA_223005859	uniplot:Q96DN5
hsa:HSA_223005864	uniplot:Q8N436
hsa:HSA_223029410	uniplot:Q9Y490
hsa:HSA_223029412	uniplot:Q02509
hsa:HSA_223029414	uniplot:C9JL84
hsa:HSA_223029426	uniplot:Q76EJ3
hsa:HSA_223029426	uniplot:A0A024R9N5
hsa:HSA_223029449	uniplot:Q9NQX5
hsa:HSA_223029454	uniplot:Q9BY10
hsa:HSA_223029454	uniplot:A0A024QYV1
hsa:HSA_223029457	uniplot:Q8NBV4
hsa:HSA_223029461	uniplot:Q8N539
hsa:HSA_22325370	uniplot:Q8N5L8
hsa:HSA_223278356	uniplot:Q8TCU5
hsa:HSA_223278374	uniplot:Q6PJP8
hsa:HSA_223278379	uniplot:B3KMR5
hsa:HSA_223278379	uniplot:Q5JTH9
hsa:HSA_223278387	uniplot:Q53H37
hsa:HSA_223278387	uniplot:Q9NZT1
hsa:HSA_223278413	uniplot:Q7Z304
hsa:HSA_223468610	uniplot:O96001
hsa:HSA_223468610	uniplot:A0A090N8N7
hsa:HSA_223468620	uniplot:Q9UHC7
hsa:HSA_223468659	uniplot:Q8IY47
hsa:HSA_223468659	uniplot:A0A024RA38
hsa:HSA_223468663	uniplot:O60218
hsa:HSA_223468687	uniplot:Q9BRU9
hsa:HSA_223555919	uniplot:Q8NEZ2
hsa:HSA_223555955	uniplot:Q9BVC3
hsa:HSA_223555958	uniplot:Q6YI46
hsa:HSA_223633935	uniplot:Q86WR7
hsa:HSA_223633939	uniplot:Q504Y0
hsa:HSA_223633944	uniplot:P0C874
hsa:HSA_223633947	uniplot:Q8N2G6
hsa:HSA_223633947	uniplot:A0A024QZP0
hsa:HSA_223633959	uniplot:Q96NZ9
hsa:HSA_223646111	uniplot:P0CG42
hsa:HSA_223671858	uniplot:Q6ZUB0
hsa:HSA_223671858	uniplot:A0A0J9YX51
hsa:HSA_223718134	uniplot:Q00534
hsa:HSA_223890246	uniplot:B4DG30
hsa:HSA_223890246	uniplot:Q9UL63
hsa:HSA_223890278	uniplot:Q13772
hsa:HSA_223890278	uniplot:Q96E88
hsa:HSA_223941923	uniplot:Q5VV17
hsa:HSA_223972685	uniplot:Q8NA54
hsa:HSA_223972685	uniplot:A0A024R771
hsa:HSA_224465190	uniplot:Q12765
hsa:HSA_224494019	uniplot:O14763
hsa:HSA_224494019	uniplot:Q7Z2I8
hsa:HSA_224586804	uniplot:Q9NRF9
hsa:HSA_224586804	uniplot:A0A024R829
hsa:HSA_224586910	uniplot:Q8IYX0
hsa:HSA_224589071	uniplot:Q14692
hsa:HSA_224589117	uniplot:A6NF83
hsa:HSA_224591406	uniplot:Q5SQS7
hsa:HSA_224967054	uniplot:P35712
hsa:HSA_224967057	uniplot:P48788
hsa:HSA_225007648	uniplot:Q96F88
hsa:HSA_225007648	uniplot:Q99575
hsa:HSA_22538431	uniplot:P07858
hsa:HSA_22538431	uniplot:A0A024R374
hsa:HSA_22538495	uniplot:Q2L4S5
hsa:HSA_22538495	uniplot:Q6IS24
hsa:HSA_22538497	uniplot:B3KSU4
hsa:HSA_22538497	uniplot:Q96LL9
hsa:HSA_22547108	uniplot:Q9UBN6
hsa:HSA_22547121	uniplot:O14798
hsa:HSA_225637473	uniplot:B3KUC7
hsa:HSA_225637473	uniplot:Q9H2Y9
hsa:HSA_225637544	uniplot:P0C7T3
hsa:HSA_225637544	uniplot:A0A126GWP3
hsa:HSA_225735557	uniplot:Q9Y4A8
hsa:HSA_225903428	uniplot:B3EWG3
hsa:HSA_225903428	uniplot:B3EWG4
hsa:HSA_225903428	uniplot:B3EWG5
hsa:HSA_225903428	uniplot:B3EWG6
hsa:HSA_226059133	uniplot:Q14914
hsa:HSA_226246671	uniplot:P60866
hsa:HSA_226437579	uniplot:O15069
hsa:HSA_226437602	uniplot:Q9UD57
hsa:HSA_226529227	uniplot:A6NP11
hsa:HSA_226958478	uniplot:A8MUV8
hsa:HSA_226958483	uniplot:P0CB33
hsa:HSA_226958625	uniplot:Q5SWW7
hsa:HSA_227430410	uniplot:Q06416
hsa:HSA_22748611	uniplot:Q8N104
hsa:HSA_22748617	uniplot:Q8NG35
hsa:HSA_22748617	uniplot:A0A0K0K1I4
hsa:HSA_22748641	uniplot:B3KUH0
hsa:HSA_22748641	uniplot:Q8WUX9
hsa:HSA_22748643	uniplot:Q96CF2
hsa:HSA_22748685	uniplot:Q8NCR9
hsa:HSA_22748693	uniplot:Q8N8R7
hsa:HSA_22748877	uniplot:B4DF88
hsa:HSA_22748877	uniplot:Q8NFJ8
hsa:HSA_22748885	uniplot:Q8NA75
hsa:HSA_22749165	uniplot:Q8N8Y2
hsa:HSA_22749165	uniplot:A0A024R991
hsa:HSA_22749177	uniplot:Q8N9P6
hsa:HSA_22749177	uniplot:Q96NJ1
hsa:HSA_22749179	uniplot:A6NJ46
hsa:HSA_22749183	uniplot:Q7L985
hsa:HSA_22749297	uniplot:Q8WWZ8
hsa:HSA_22749409	uniplot:Q8TBZ9
hsa:HSA_22749459	uniplot:Q8N158
hsa:HSA_22749479	uniplot:Q8N129
hsa:HSA_22907028	uniplot:O00757
hsa:HSA_22907052	uniplot:Q92747
hsa:HSA_22907052	uniplot:V9HVZ6
hsa:HSA_229089140	uniplot:Q50LG9
hsa:HSA_229577398	uniplot:Q9Y6E2
hsa:HSA_229577398	uniplot:A0A024RA42
hsa:HSA_229892270	uniplot:Q9NV06
hsa:HSA_229892270	uniplot:A0A087WT20
hsa:HSA_23097236	uniplot:P31269
hsa:HSA_23097240	uniplot:Q9UFC0
hsa:HSA_23097240	uniplot:A0A140VJD0
hsa:HSA_23097242	uniplot:Q96RJ6
hsa:HSA_23097272	uniplot:Q6QHF9
hsa:HSA_23097310	uniplot:Q9HB03
hsa:HSA_23097323	uniplot:Q03936
hsa:HSA_23097323	uniplot:V9HVY7
hsa:HSA_23097338	uniplot:P58417
hsa:HSA_23097338	uniplot:Q3LID8
hsa:HSA_23110935	uniplot:P25786
hsa:HSA_23110960	uniplot:O60911
hsa:HSA_23110960	uniplot:A0A024R141
hsa:HSA_23111009	uniplot:P15172
hsa:HSA_23111023	uniplot:Q8N5Z3
hsa:HSA_23111023	uniplot:Q9Y5X0
hsa:HSA_23111023	uniplot:A0A024RA70
hsa:HSA_231563300	uniplot:Q5W064
hsa:HSA_23200008	uniplot:Q8NFV4
hsa:HSA_23238244	uniplot:P57768
hsa:HSA_23308499	uniplot:Q96MN9
hsa:HSA_23308545	uniplot:Q96NL1
hsa:HSA_23308545	uniplot:A0A024R9D4
hsa:HSA_23308551	uniplot:Q96MP8
hsa:HSA_23308551	uniplot:A0A024RDN7
hsa:HSA_23308751	uniplot:P31937
hsa:HSA_23308751	uniplot:A0A024RA75
hsa:HSA_23312364	uniplot:Q96PU4
hsa:HSA_23397429	uniplot:Q7L2H7
hsa:HSA_23397516	uniplot:Q8NHV1
hsa:HSA_23397516	uniplot:A0A090N8P8
hsa:HSA_23397518	uniplot:Q8N6L7
hsa:HSA_23397532	uniplot:Q8N326
hsa:HSA_23397648	uniplot:Q8TEQ8
hsa:HSA_23503271	uniplot:Q8IV31
hsa:HSA_23503275	uniplot:Q8N2M4
hsa:HSA_23510283	uniplot:Q9H9T3
hsa:HSA_23510400	uniplot:Q8TE04
hsa:HSA_23510445	uniplot:O95150
hsa:HSA_23510445	uniplot:A0A0U5JA19
hsa:HSA_23592220	uniplot:Q8NDV2
hsa:HSA_23592222	uniplot:Q8WZ92
hsa:HSA_23592222	uniplot:A0A126GVJ7
hsa:HSA_23592230	uniplot:Q8WZ94
hsa:HSA_23592230	uniplot:A0A126GVE6
hsa:HSA_236459851	uniplot:Q6ZU65
hsa:HSA_237649117	uniplot:Q5VYX0
hsa:HSA_237649130	uniplot:F5H5R8
hsa:HSA_237649130	uniplot:Q400J6
hsa:HSA_237681194	uniplot:A0PJY2
hsa:HSA_237820711	uniplot:Q17RY6
hsa:HSA_23821044	uniplot:Q8NHG8
hsa:HSA_23821044	uniplot:A0A090N8Y8
hsa:HSA_238231392	uniplot:Q8NF50
hsa:HSA_238814385	uniplot:Q15326
hsa:HSA_238814385	uniplot:Q5BJG6
hsa:HSA_238814385	uniplot:Q5UGI2
hsa:HSA_238908508	uniplot:A4D1F6
hsa:HSA_23943785	uniplot:A4D125
hsa:HSA_23943785	uniplot:Q6X4U4
hsa:HSA_23943850	uniplot:Q5SQQ7
hsa:HSA_23943850	uniplot:Q8IU85
hsa:HSA_239582741	uniplot:Q5SYB0
hsa:HSA_239582753	uniplot:Q96LA9
hsa:HSA_239582757	uniplot:Q9NQ60
hsa:HSA_239735603	uniplot:Q8N7R1
hsa:HSA_239787838	uniplot:Q9NXF1
hsa:HSA_239787838	uniplot:A0A024R169
hsa:HSA_239915976	uniplot:A4D1S5
hsa:HSA_239985422	uniplot:Q9P0J1
hsa:HSA_240849531	uniplot:Q9UP83
hsa:HSA_242247193	uniplot:O14492
hsa:HSA_242247193	uniplot:A0A0A0MTI2
hsa:HSA_24307909	uniplot:Q12967
hsa:HSA_24307909	uniplot:Q8N4Y1
hsa:HSA_24308043	uniplot:Q96HN2
hsa:HSA_24308113	uniplot:Q96EK5
hsa:HSA_24308165	uniplot:Q8N4L2
hsa:HSA_24308181	uniplot:Q58EZ4
hsa:HSA_24308181	uniplot:Q9P2J3
hsa:HSA_24308279	uniplot:Q8N987
hsa:HSA_24308400	uniplot:Q8NE86
hsa:HSA_24308452	uniplot:Q9BTV6
hsa:HSA_24308541	uniplot:P83105
hsa:HSA_24429572	uniplot:Q8IZX4
hsa:HSA_24429592	uniplot:Q8N6G5
hsa:HSA_24429592	uniplot:A0A0S2Z5F5
hsa:HSA_24431950	uniplot:O43172
hsa:HSA_24432032	uniplot:Q96F45
hsa:HSA_24432106	uniplot:Q8N163
hsa:HSA_24497517	uniplot:P20719
hsa:HSA_24497554	uniplot:P31271
hsa:HSA_24497554	uniplot:Q6DI00
hsa:HSA_24497556	uniplot:P31268
hsa:HSA_24797148	uniplot:P49903
hsa:HSA_25282469	uniplot:Q8IZV5
hsa:HSA_25282469	uniplot:A0A024R7X6
hsa:HSA_254553388	uniplot:O75426
hsa:HSA_255708477	uniplot:Q2M3G0
hsa:HSA_256017148	uniplot:Q96QB1
hsa:HSA_256017186	uniplot:Q9Y6Z7
hsa:HSA_256017186	uniplot:A0A024R9J3
hsa:HSA_256017245	uniplot:B3KPM6
hsa:HSA_256017245	uniplot:O94830
hsa:HSA_256355121	uniplot:P49961
hsa:HSA_256418981	uniplot:Q8TEF2
hsa:HSA_256418985	uniplot:Q86SM5
hsa:HSA_256418995	uniplot:Q9NUL3
hsa:HSA_256418995	uniplot:A0A0A0MTC5
hsa:HSA_256600250	uniplot:Q6NZ63
hsa:HSA_256600257	uniplot:Q9UKN1
hsa:HSA_256773199	uniplot:Q8NH94
hsa:HSA_256773199	uniplot:A0A0B4J1S0
hsa:HSA_256773201	uniplot:Q8NGR2
hsa:HSA_256773201	uniplot:A0A0C4DFP2
hsa:HSA_256773224	uniplot:A6NMN3
hsa:HSA_257467606	uniplot:Q8IWL2
hsa:HSA_257467654	uniplot:Q9HCM3
hsa:HSA_257470999	uniplot:O60353
hsa:HSA_257470999	uniplot:A0A024R9E9
hsa:HSA_25777730	uniplot:P30837
hsa:HSA_258614003	uniplot:P52569
hsa:HSA_259013213	uniplot:Q59FF8
hsa:HSA_259013213	uniplot:Q96PZ7
hsa:HSA_259013213	uniplot:A0A0U1RQY1
hsa:HSA_259906438	uniplot:O00220
hsa:HSA_260064024	uniplot:P30988
hsa:HSA_260064024	uniplot:A0A0A0MRG0
hsa:HSA_260099723	uniplot:P00338
hsa:HSA_260654089	uniplot:Q2TAL6
hsa:HSA_260763892	uniplot:Q96LB0
hsa:HSA_260763922	uniplot:P28289
hsa:HSA_260898770	uniplot:B4DYI2
hsa:HSA_260898770	uniplot:Q9Y4N5
hsa:HSA_261244921	uniplot:Q9HC98
hsa:HSA_261278370	uniplot:P24557
hsa:HSA_261278370	uniplot:A0A0C4DH47
hsa:HSA_261490645	uniplot:P59533
hsa:HSA_262359907	uniplot:Q3C1V1
hsa:HSA_262527223	uniplot:Q9H8G2
hsa:HSA_269846904	uniplot:Q9NXX6
hsa:HSA_26986534	uniplot:Q8IWW6
hsa:HSA_269973877	uniplot:B2RDZ2
hsa:HSA_269973877	uniplot:Q969G6
hsa:HSA_270265795	uniplot:A5YM69
hsa:HSA_270265887	uniplot:Q5VTQ0
hsa:HSA_270288816	uniplot:Q96P11
hsa:HSA_27262636	uniplot:Q07617
hsa:HSA_27312027	uniplot:Q8IX29
hsa:HSA_27363480	uniplot:Q8WVR3
hsa:HSA_27436938	uniplot:P78509
hsa:HSA_27436974	uniplot:Q92953
hsa:HSA_27475985	uniplot:Q96NK8
hsa:HSA_27475985	uniplot:A0A090N7T3
hsa:HSA_27477070	uniplot:O14981
hsa:HSA_27477070	uniplot:Q2M1V9
hsa:HSA_27477070	uniplot:Q8N6J1
hsa:HSA_27502373	uniplot:Q99932
hsa:HSA_27544931	uniplot:Q9Y5A6
hsa:HSA_27544933	uniplot:P16260
hsa:HSA_27597059	uniplot:Q8WXX5
hsa:HSA_27597059	uniplot:A0A024QZN2
hsa:HSA_27597073	uniplot:P34913
hsa:HSA_27734761	uniplot:Q96MF7
hsa:HSA_27734761	uniplot:A0A024R9J6
hsa:HSA_27734915	uniplot:Q5T1B1
hsa:HSA_27734929	uniplot:Q8NA66
hsa:HSA_27734971	uniplot:Q8N4C0
hsa:HSA_27735039	uniplot:C5H3H2
hsa:HSA_27735039	uniplot:Q96DE5
hsa:HSA_27735123	uniplot:Q8N9H6
hsa:HSA_27764904	uniplot:P59646
hsa:HSA_27765096	uniplot:Q11201
hsa:HSA_27765096	uniplot:A0A024R9L6
hsa:HSA_27881482	uniplot:O95786
hsa:HSA_27883842	uniplot:P35226
hsa:HSA_27886584	uniplot:Q14289
hsa:HSA_27894361	uniplot:Q92570
hsa:HSA_281182747	uniplot:Q8NGF1
hsa:HSA_28195384	uniplot:P47972
hsa:HSA_282165810	uniplot:Q9UDY2
hsa:HSA_282394051	uniplot:Q6UX68
hsa:HSA_282394051	uniplot:A0A087X143
hsa:HSA_282721027	uniplot:Q5VZR2
hsa:HSA_28274701	uniplot:Q8NB15
hsa:HSA_282847365	uniplot:Q5T742
hsa:HSA_282847388	uniplot:Q5T681
hsa:HSA_282847455	uniplot:Q6P6B1
hsa:HSA_28302131	uniplot:D9YZU8
hsa:HSA_28302131	uniplot:P69891
hsa:HSA_283046748	uniplot:Q8N5U0
hsa:HSA_283135246	uniplot:B4DX44
hsa:HSA_283945558	uniplot:Q9NZ09
hsa:HSA_284005402	uniplot:Q8N8M0
hsa:HSA_284005406	uniplot:Q8NGK4
hsa:HSA_284005406	uniplot:A0A126GVF2
hsa:HSA_284005410	uniplot:B2RNI9
hsa:HSA_284005410	uniplot:Q9H341
hsa:HSA_284005439	uniplot:Q8NH56
hsa:HSA_284005439	uniplot:A0A126GVK9
hsa:HSA_284055225	uniplot:Q8N328
hsa:HSA_284055260	uniplot:Q8NGJ4
hsa:HSA_284055273	uniplot:Q8NGK3
hsa:HSA_284055273	uniplot:A0A126GVK8
hsa:HSA_28416431	uniplot:Q9UG22
hsa:HSA_28416431	uniplot:A0A090N8H4
hsa:HSA_28416940	uniplot:Q9Y3A5
hsa:HSA_28416940	uniplot:A0A0S2Z5I7
hsa:HSA_28416949	uniplot:Q96F15
hsa:HSA_28416949	uniplot:A0A090N8P9
hsa:HSA_28416956	uniplot:Q8ND71
hsa:HSA_28416956	uniplot:A0A090N8H2
hsa:HSA_284172508	uniplot:Q8NGH5
hsa:HSA_284172508	uniplot:A0A126GVB5
hsa:HSA_284172518	uniplot:Q9H209
hsa:HSA_284172520	uniplot:Q5HYE3
hsa:HSA_284172520	uniplot:Q6UWY5
hsa:HSA_284520131	uniplot:Q629K1
hsa:HSA_284520131	uniplot:A0A024R9A0
hsa:HSA_28461129	uniplot:Q8IV38
hsa:HSA_28461129	uniplot:A0A024R9Z6
hsa:HSA_28557709	uniplot:P21108
hsa:HSA_28557711	uniplot:A4D1A1
hsa:HSA_28557711	uniplot:Q8IV56
hsa:HSA_28557796	uniplot:Q86YD5
hsa:HSA_28557798	uniplot:Q96KN1
hsa:HSA_28558979	uniplot:Q6P2C8
hsa:HSA_28558979	uniplot:A0A024R8B7
hsa:HSA_28629866	uniplot:O94844
hsa:HSA_28629866	uniplot:A0A024QZL4
hsa:HSA_28827801	uniplot:Q8TD06
hsa:HSA_28827807	uniplot:Q86W26
hsa:HSA_28827813	uniplot:Q86W24
hsa:HSA_288557345	uniplot:Q70IA6
hsa:HSA_28872738	uniplot:Q8N983
hsa:HSA_28872798	uniplot:P49716
hsa:HSA_28872814	uniplot:Q9NTN9
hsa:HSA_28882033	uniplot:P59535
hsa:HSA_28882045	uniplot:Q86WN2
hsa:HSA_288915525	uniplot:Q99933
hsa:HSA_28912912	uniplot:Q9C056
hsa:HSA_289176996	uniplot:B4DSP0
hsa:HSA_289177074	uniplot:Q7LG56
hsa:HSA_289547524	uniplot:Q6WKZ4
hsa:HSA_289547545	uniplot:Q5T5S1
hsa:HSA_289547545	uniplot:Q96IG8
hsa:HSA_289547757	uniplot:D3DWI6
hsa:HSA_289577080	uniplot:P78344
hsa:HSA_28973795	uniplot:P59551
hsa:HSA_290491128	uniplot:Q8IXS6
hsa:HSA_291167749	uniplot:Q86UP3
hsa:HSA_291219927	uniplot:H0Y4Z8
hsa:HSA_291219927	uniplot:Q3YEC7
hsa:HSA_29126218	uniplot:Q9UF47
hsa:HSA_29126218	uniplot:A0A024R7Z1
hsa:HSA_29126247	uniplot:Q7RTS1
hsa:HSA_291291012	uniplot:C9JRZ8
hsa:HSA_291575192	uniplot:P37275
hsa:HSA_291621700	uniplot:E9PSF9
hsa:HSA_291621700	uniplot:Q6ZSM3
hsa:HSA_292494913	uniplot:B7ZLH2
hsa:HSA_292658793	uniplot:C9JH25
hsa:HSA_29294639	uniplot:Q5EB52
hsa:HSA_29294639	uniplot:A0A024R768
hsa:HSA_29337281	uniplot:Q9BZG9
